movie_title
英雄
卧虎藏龙
花样年华
무사
满城尽带黄金甲
巴尔扎克与小裁缝
风云雄霸天下
暗战
最佳拍档
新最佳拍档
色‧戒
文雀
霍元甲
我是谁
一半海水一半火焰
警察故事
饺子
黑侠
功夫
十面埋伏
全职杀手
福星高照
小白龙情海翻波
韩城攻略
霹雳火
荆轲刺秦王
大红灯笼高高挂
饮食男女
黄飞鸿
黄飞鸿之二男儿当自强
黄飞鸿之三狮王争霸
黄飞鸿之西域雄狮
一个好人
七剑
警察故事续集
无间道
喋血双雄
倚天屠龙记之魔教教主
赤裸特工
琉璃樽
龙兄虎弟
飞鹰计划
霸王别姬
重庆森林
太极张三丰
城市猎人
快餐车
堕落天使
醉拳
英雄本色
盲井
蛇形刁手
千禧曼波
最好的时光
师弟出马
新警察故事
精武门
少林足球
辣手神探
少林卅六房
特务迷城
牒血街头
醉拳二
Монгол
我的父亲母亲
荡寇
唐山大兄
少年黄飞鸿之铁马骝
杀破狼
西游记第壹佰零壹回之月光宝盒
鬼域
黄石的孩子
豪侠
长江七号
放‧逐
神探
投名状
三国之见龙卸甲
江山美人
叶问
墨攻
狗咬狗
夕阳天使
鬼打鬼
牯岭街少年杀人事件
龙虎门
双子神偷
鬼马天师
门徒
颐和园
千机变
力王
方世玉
証人
非诚勿扰
阿飞正传
春光乍洩
데이지
鼠胆龙威
新精武门
东方不败之风云再起
파이란
夏日福星
给爸爸的信
黄飞鸿之铁鸡斗蜈蚣
飞渡捲云山
龙腾虎跃
黑社会
拳精
龙的心
双龙会
火烧岛
龙之忍者
白发魔女传
蠍子战士
重案组
笑傲江湖
招半式闯江湖
伤城
复仇
十八般武艺
笑拳怪招
男儿本色
蝴蝶
新宿事件
如来神掌
不能说的秘密
龙行天下
南京!南京!
十四女英豪
西游记大结局之仙履奇缘
天下第一拳
洪熙官
โลงต่อตาย
旺角卡门
新座头市　破れ！唐人剣
窃听风云
伊波拉病毒
奇蹟
笑太极
一一
奇谋妙计五福星
建国大业
缘份
柔道龙虎榜
鬼子来了
秘岸
大醉侠
