person_name
巩俐
乔宏
李连杰
梁朝伟
张曼玉
章子怡
甄子丹
周润发
鲍德熹
曾江
吴宇森
张耀扬
成龙
袁和平
任达华
陈凯歌
张柏芝
刘烨
王文隽
郭富城
杨恭如
舒淇
方中信
杜琪峰
张学友
刘德华
林雪
曾志伟
许冠杰
林子祥
刘家良
陈雅伦
李修贤
黄锦燊
潘恒生
林熙蕾
锺丽缇
黄霑
林青霞
梁家辉
周星驰
元华
莫文蔚
洪金宝
黄炳耀
吴耀汉
胡慧中
林正英
吴镇宇
任贤齐
陈国新
袁咏仪
谷德昭
梁咏琪
姜大卫
关之琳
莫少聪
黄秋生
黎明
张敏
邱淑贞
黎姿
程小东
谭咏麟
王祖贤
葛民辉
林海峰
温翠苹
邬君梅
张国荣
吴孟达
陈欣健
罗烈
徐少强
陈德森
王宝强
张家辉
孙红雷
李滨
张雨绮
葛优
王学圻
赵薇
吕良伟
徐玟晴
萧芳芳
郑少秋
陈惠敏
张卫健
刘松仁
徐锦江
黄圣依
罗美薇
柯受良
惠英红
叶德娴
朱茵
罗行堂
蔡少芬
陈观泰
吴君如
苑琼丹
洪欣
楚原
刘仪伟
胡军
张涵予
邓超
金燕玲
向华强
谷祖琳
许冠文
吴家丽
杨菁菁
黄晓明
陈坤
林国斌
黄子华
郑丹瑞
陈玉莲
鲍汉琳
沈殿霞
郭晓冬
刘以达
李力持
苗圃
元秋
成奎安
西瓜刨
吴辰君
于荣光
田丰
李美凤
吴启华
刘天兰
周海媚
徐帆
刘宝贤
柯俊雄
午马
叶进
龚蓓苾
张智霖
周慧敏
梁曼仪
钱嘉乐
锺镇涛
龙方
李蕙敏
陈法蓉
锺景辉
郑裕玲
梁家仁
杨丽菁
谷峰
周文健
卢冠廷
楼南光
任世官
李丽丽
刘家辉
黄百鸣
赵雅芝
王伍福
张国立
王学兵
林子聪
鬼媾人
陈豪
叶蕴仪
陈加玲
唐国强
胡枫
何东
叶荣祖
袁洁莹
王羽
陈晓东
刘劲
秦沛
高雄
陈建斌
雷宇扬
黄一飞
陈松勇
童爱玲
吴志雄
宁静
张同祖
佟大为
陈数
吴刚
陈旭初
黄新
田青
何家驹
陈宝莲
程守一
李家声
关海山
黄光亮
黄贯中
黄家驹
黄家强
叶世荣
陈德容
卢海鹏
钱似莺
梁本熙
黄斌
植敬雯
惠天赐
陈国坤
江欣燕
陈龙
林小楼
许英秀
单立文
陶泽如
吴大维
施介强
汤镇业
杨群
冯小刚
梁克逊
冯元炽
黄一山
梁锦燊
刘永
段伟伦
石燕子
陈国邦
黄杏秀
卢宛茵
邓浩光
古巨基
简达华
雷达
李强
谭淑梅
王书麒
梁韵蕊
朱铁和
颜丽如
左颂昇
陈明君
古明华
黄贻青
林琪欣
陆树铭
张武孝
刘沙
修宗迪
杨晓丹
司马燕
黄美琪
